Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1758300
Finite Time (ns): ,3400,,Fuzzy Time (ns): ,1883600
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1771200
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,2101500
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,979000
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,799600
Finite Time (ns): ,2900,,Fuzzy Time (ns): ,1729200
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,1753500
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1857100
Finite Time (ns): ,3000,,Fuzzy Time (ns): ,2447300
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,1295000
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,777100
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,781300
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,787800
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,863000
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,826400
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,833700
Finite Time (ns): ,3100,,Fuzzy Time (ns): ,1781800
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,793000
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,791000
Finite Time (ns): ,3000,,Fuzzy Time (ns): ,1764200
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1320000
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,794000
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,1374000
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,2084400
Finite Time (ns): ,3000,,Fuzzy Time (ns): ,2272900
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,1298100
Finite Time (ns): ,2700,,Fuzzy Time (ns): ,817300
Finite Time (ns): ,22600,,Fuzzy Time (ns): ,1503500
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1304700
Finite Time (ns): ,3300,,Fuzzy Time (ns): ,1765900
Finite Time (ns): ,2700,,Fuzzy Time (ns): ,1306900
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,1293100
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1263700
Finite Time (ns): ,2700,,Fuzzy Time (ns): ,1285200
Finite Time (ns): ,3200,,Fuzzy Time (ns): ,1745000
Finite Time (ns): ,2700,,Fuzzy Time (ns): ,1785900
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1759200
